Date,Source URL,Country,Source label,Hospitalizations with moderate to severe symptoms,New hospital admissions (daily)
2020-07-11,https://sites.google.com/view/snuaric/data-service/covid-19/covid-19-data?authuser=0,South Korea,SNU ARIC (from Korea DCA),20,NA
2020-07-12,https://sites.google.com/view/snuaric/data-service/covid-19/covid-19-data?authuser=0,South Korea,SNU ARIC (from Korea DCA),19,NA
2020-07-13,https://sites.google.com/view/snuaric/data-service/covid-19/covid-19-data?authuser=0,South Korea,SNU ARIC (from Korea DCA),20,NA
2020-07-14,https://sites.google.com/view/snuaric/data-service/covid-19/covid-19-data?authuser=0,South Korea,SNU ARIC (from Korea DCA),17,NA
2020-07-15,https://sites.google.com/view/snuaric/data-service/covid-19/covid-19-data?authuser=0,South Korea,SNU ARIC (from Korea DCA),17,NA
2020-07-16,https://sites.google.com/view/snuaric/data-service/covid-19/covid-19-data?authuser=0,South Korea,SNU ARIC (from Korea DCA),16,NA
2020-07-17,https://sites.google.com/view/snuaric/data-service/covid-19/covid-19-data?authuser=0,South Korea,SNU ARIC (from Korea DCA),16,NA
2020-07-18,https://sites.google.com/view/snuaric/data-service/covid-19/covid-19-data?authuser=0,South Korea,SNU ARIC (from Korea DCA),19,NA
2020-07-19,https://sites.google.com/view/snuaric/data-service/covid-19/covid-19-data?authuser=0,South Korea,SNU ARIC (from Korea DCA),19,NA
2020-07-20,https://sites.google.com/view/snuaric/data-service/covid-19/covid-19-data?authuser=0,South Korea,SNU ARIC (from Korea DCA),19,NA
2020-07-21,https://sites.google.com/view/snuaric/data-service/covid-19/covid-19-data?authuser=0,South Korea,SNU ARIC (from Korea DCA),21,NA
2020-07-22,https://sites.google.com/view/snuaric/data-service/covid-19/covid-19-data?authuser=0,South Korea,SNU ARIC (from Korea DCA),21,NA
2020-07-23,https://sites.google.com/view/snuaric/data-service/covid-19/covid-19-data?authuser=0,South Korea,SNU ARIC (from Korea DCA),18,NA
2020-07-24,https://sites.google.com/view/snuaric/data-service/covid-19/covid-19-data?authuser=0,South Korea,SNU ARIC (from Korea DCA),16,NA
2020-07-25,https://sites.google.com/view/snuaric/data-service/covid-19/covid-19-data?authuser=0,South Korea,SNU ARIC (from Korea DCA),15,NA
2020-07-26,https://sites.google.com/view/snuaric/data-service/covid-19/covid-19-data?authuser=0,South Korea,SNU ARIC (from Korea DCA),15,NA
2020-07-27,https://sites.google.com/view/snuaric/data-service/covid-19/covid-19-data?authuser=0,South Korea,SNU ARIC (from Korea DCA),14,NA
2020-07-28,https://sites.google.com/view/snuaric/data-service/covid-19/covid-19-data?authuser=0,South Korea,SNU ARIC (from Korea DCA),12,NA
2020-07-29,https://sites.google.com/view/snuaric/data-service/covid-19/covid-19-data?authuser=0,South Korea,SNU ARIC (from Korea DCA),12,NA
2020-07-30,https://sites.google.com/view/snuaric/data-service/covid-19/covid-19-data?authuser=0,South Korea,SNU ARIC (from Korea DCA),13,NA
2020-07-31,https://sites.google.com/view/snuaric/data-service/covid-19/covid-19-data?authuser=0,South Korea,SNU ARIC (from Korea DCA),12,NA
2020-08-01,https://sites.google.com/view/snuaric/data-service/covid-19/covid-19-data?authuser=0,South Korea,SNU ARIC (from Korea DCA),13,NA
2020-08-02,https://sites.google.com/view/snuaric/data-service/covid-19/covid-19-data?authuser=0,South Korea,SNU ARIC (from Korea DCA),13,NA
